,id,age,gender,stem,img_path,label
0,000001,45,female,mask3,../input/data/train/images/000001_female_Asian_45/mask3.jpg,4
1,000001,45,female,incorrect_mask,../input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,10
2,000001,45,female,mask2,../input/data/train/images/000001_female_Asian_45/mask2.jpg,4
3,000001,45,female,normal,../input/data/train/images/000001_female_Asian_45/normal.jpg,16
4,000001,45,female,mask5,../input/data/train/images/000001_female_Asian_45/mask5.jpg,4
5,000001,45,female,mask1,../input/data/train/images/000001_female_Asian_45/mask1.jpg,4
6,000001,45,female,mask4,../input/data/train/images/000001_female_Asian_45/mask4.jpg,4
7,000002,52,female,mask3,../input/data/train/images/000002_female_Asian_52/mask3.jpg,4
8,000002,52,female,incorrect_mask,../input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg,10
9,000002,52,female,mask2,../input/data/train/images/000002_female_Asian_52/mask2.jpg,4
10,000002,52,female,normal,../input/data/train/images/000002_female_Asian_52/normal.jpg,16
11,000002,52,female,mask5,../input/data/train/images/000002_female_Asian_52/mask5.jpg,4
12,000002,52,female,mask1,../input/data/train/images/000002_female_Asian_52/mask1.jpg,4
13,000002,52,female,mask4,../input/data/train/images/000002_female_Asian_52/mask4.jpg,4
14,000004,54,male,mask3,../input/data/train/images/000004_male_Asian_54/mask3.jpg,1
15,000004,54,male,incorrect_mask,../input/data/train/images/000004_male_Asian_54/incorrect_mask.jpg,7
16,000004,54,male,mask2,../input/data/train/images/000004_male_Asian_54/mask2.jpg,1
17,000004,54,male,normal,../input/data/train/images/000004_male_Asian_54/normal.jpg,13
18,000004,54,male,mask5,../input/data/train/images/000004_male_Asian_54/mask5.jpg,1
19,000004,54,male,mask1,../input/data/train/images/000004_male_Asian_54/mask1.jpg,1
20,000004,54,male,mask4,../input/data/train/images/000004_male_Asian_54/mask4.jpg,1
21,000005,58,female,mask3,../input/data/train/images/000005_female_Asian_58/mask3.jpg,4
22,000005,58,female,incorrect_mask,../input/data/train/images/000005_female_Asian_58/incorrect_mask.jpg,10
23,000005,58,female,mask2,../input/data/train/images/000005_female_Asian_58/mask2.jpg,4
24,000005,58,female,normal,../input/data/train/images/000005_female_Asian_58/normal.jpg,16
25,000005,58,female,mask5,../input/data/train/images/000005_female_Asian_58/mask5.jpg,4
